gsettings-desktop-schemas 3.16.1-1
gsfonts 20150122-1
gsl 1.16-1
gsm 1.0.13-8
gssdp 0.14.11-1
gst-libav 1.4.5-1
gst-plugins-bad 1.4.5-4
gst-plugins-base 1.4.5-1
gst-plugins-base-libs 1.4.5-1
gst-plugins-good 1.4.5-3
gst-plugins-ugly 1.4.5-2
gstreamer 1.4.5-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-10
gstreamer0.10-bad-plugins 0.10.23-10
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-8
gstreamer0.10-good-plugins 0.10.31-8
gtk-doc 1.24-1
gtk-sharp-2 2.12.22-1
gtk-sharp-beans 2.14.0-3
gtk-update-icon-cache 3.16.5-1
gtk2 2.24.28-1
gtk3 3.16.5-1
gtkmm 2.24.4-1
gtknetcat 0.1-4
gtksourceview3 3.16.1-1
gtkspell 2.0.16-3
gucharmap 3.16.2-1
gudev-sharp 0.1-3
guile 2.0.11-2
gupnp 0.20.14-1
guvcview 2.0.1-1
gvfs 1.24.1-2
gzip 1.6-1
hardinfo 0.5.1-6
harfbuzz 0.9.41-1
harfbuzz-icu 0.9.41-1
hdparm 9.45-1
help2man 1.46.4-1
hicolor-icon-theme 0.13-1
hspell 1.2-2
htop 1.0.3-2
hunspell 1.3.3-1
hwids 20150129-1
hyphen 2.8.8-1
iana-etc 2.30-5
icu 55.1-1
id3shit-git 20100830-1
ifplugd 0.28-14
iftop 1.0pre4-1
ilmbase 2.2.0-1
imagemagick 6.9.1.4-1
imlib2 1.4.7-1
inetutils 1.9.4-1
inputproto 2.3.1-1
insync 1.2.11-1
insync-caja 1.2.8-1
intel-ucode 20150121-1
intltool 0.50.2-2
iotop 0.6-2
iproute2 4.0.0-2
iptables 1.4.21-3
iputils 20140519.fad11dc-1
irssi 0.8.17-2
